"year","Q.exp","Q.imp","V.exp","V.imp","Q.balance","V.balance","UV.balance","PDname.x","country","energy_adequacy","food_deficit","food_price","food_production","gdp","protein_supply","protein_animal","undernourish","food_price_volatility","food_supply_variability","total_population","number_undernourished","dietary_energy_supply","fat_supply","food_over_acquisition","food_production_variability","calories","protein","fat","vitaminA","calcium","iron","zinc","thiamin","riboflavin","niacin","B6","magnesium","polyunsatFA","calories_demersalfish","calories_pelagicfish","calories_othermarinefish","calories_crustaceans","calories_molluscs","calories_seafood","protein_demersalfish","protein_pelagicFish","protein_othermarinefish","protein_crustaceans","protein_molluscs","protein_seafood","fat_demersalfish","fat_pelagicfish","fat_othermarinefish","fat_crustaceans","fat_molluscs","fat_seafood","vitaminA_demersalfish","vitaminA_pelagicfish","vitaminA_othermarinefish","vitaminA_crustaceans","vitaminA_molluscs","vitaminA_seafood","calcium_demersalfish","calcium_pelagicfish","calcium_othermarinefish","calcium_crustaceans","calcium_molluscs","calcium_seafood","iron_demersalfish","iron_pelagicfish","iron_othermarinefish","iron_crustaceans","iron_molluscs","iron_seafood","zinc_demersalfish","zinc_pelagicfish","zinc_othermarinefish","zinc_crustaceans","zinc_molluscs","zinc_seafood","thiamin_demersalfish","thiamin_pelagicfish","thiamin_othermarinefish","thiamin_crustaceans","thiamin_molluscs","thiamin_seafood","riboflavin_demersalfish","riboflavin_pelagicfish","riboflavin_othermarinefish","riboflavin_crustaceans","riboflavin_molluscs","riboflavin_seafood","niacin_demersalfish","niacin_pelagicFish","niacin_othermarinefish","niacin_crustaceans","niacin_molluscs","niacin_seafood","B6_demersalfish","B6_pelagicFish","B6_othermarinefish","B6_crustaceans","B6_molluscs","B6_seafood","polyunsatFA_demersalfish","polyunsatFA_pelagicFish","polyunsatFA_othermarinefish","polyunsatFA_crustaceans","polyunsatFA_molluscs","polyunsatFA_seafood","calories_percentseafood","protein_percentseafood","fat_percentseafood","vitaminA_percentseafood","calcium_percentseafood","iron_percentseafood","zinc_percentseafood","thiamin_percentseafood","riboflavin_percentseafood","niacin_percentseafood","B6_percentseafood","polyunsatFA_percentseafood","PDname.y","native","ex.imp","fishmeal","intensity","nutri","hatchery","antibiotic","habitat","GMO","code","trace","employment","waste","PDname"
2011,3803,10739,37444,34180,0.354129807244622,1.09549444119368,3.09348272521139,"Albania","Albania",121,NA,6.31,358,9640.1,101,51,"",12.6,24,3.2,"",NA,94,25.9,3.4,3188.0968,94.2687,87.0786,798.7169,1318.1609,28.2539,10.8684,1.5429,2.5168,15.7134,2.1212,371.9506,12.9762,0.57156,5.9766,1.0889,0.16685,0.6503,8.45421,0.11628,0.83415,0.20916,0.035873,0.091193,1.286656,0.0085099,0.21069,0.021891,0.0019267,0.0072592,0.2502768,0.11431,1.3759,0.31759,0.013904,0.1966,2.018304,0.11431,0.94594,0.22685,0.09137,0.23441,1.61288,0.0021592,0.043857,0.0052175,0.0011719,0.029868,0.0822736,0.0026673,0.028378,0.0054444,0.0070315,0.012099,0.0556202,0.00035564,0.0042997,0.00086203,9.3356e-05,0.0001966,0.005807326,0.00041279,0.0068796,0.0010775,8.5411e-05,0.00075616,0.009211461,0.013972,0.26228,0.032893,0.0049658,0.0079397,0.3220505,0.0016512,0.017199,0.0034027,0.00029795,0.00037808,0.02292893,0.00268,0.048888,0.0054784,0.00058795,0.0014518,0.05908615,0.00265180467544147,0.0136488145057691,0.00287414818336537,0.0025269328844801,0.00122358355493627,0.00291193782097339,0.0051176070074712,0.00376390303973038,0.00365998927209155,0.0204952779156643,0.0108094144823685,0.00455342473143139,"Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,1265,29131,5868,58357,0.0434245305688099,0.100553489727025,2.31559186501025,"Algeria","Algeria",135,36,5.01,178,13026.2,88,23,"5.1",7.7,23,37.1,"1.9",3157,70,38.8,12.3,3233.9709,83.9557,70.154,495.2772,545.1139,15.0781,9.7727,1.571,1.3434,18.0331,1.8527,394.3954,21.7676,0.38416,6.6956,0.43555,0.057534,0.016258,7.589102,0.078156,0.9345,0.083662,0.01237,0.0022798,1.1109678,0.0057198,0.23603,0.0087564,0.00066438,0.00018148,0.25135206,0.076833,1.5414,0.12704,0.0047945,0.0049151,1.7549826,0.076833,1.0597,0.09074,0.031507,0.0058603,1.2646403,0.0014513,0.049133,0.002087,0.00040411,0.00074671,0.05382212,0.0017928,0.031792,0.0021778,0.0024247,0.00030247,0.03848977,0.00023904,0.004817,0.00034481,3.2192e-05,4.9151e-06,0.0054379571,0.00027745,0.0077072,0.00043101,2.9452e-05,1.8904e-05,0.008464016,0.0093907,0.29384,0.013157,0.0017123,0.00019849,0.31829849,0.0011098,0.019268,0.0013611,0.00010274,9.4521e-06,0.0218510921,0.0018013,0.054769,0.0021914,0.00020274,3.6296e-05,0.059000736,0.00234668221659014,0.0132327858620677,0.00358286141916356,0.00354343507030003,0.002319956067897,0.0035695558458957,0.00393849908418349,0.0034614621896881,0.00630044365043918,0.0176507915998913,0.0117941879958979,0.00271048420588397,"Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,13632,0,53483,0,0,NA,"Angola","Angola",114,132,6.86,188,6949,54,16,"20.7",6.6,15,19.6,"4.0",2353,51,20.5,13.7,2777.526,57.2553,64.1243,968.9086,466.4335,16.9219,9.8194,1.6591,1.2269,20.1632,2.8911,489.004,16.1764,5.7609,13.232,1.4639,0.066301,0,20.523101,1.342,2.3547,0.31719,0.0049041,0,4.0187941,0.067775,0.44916,0.012199,0.00016438,0,0.52929838,0.47443,2.3065,0.41173,0.0043836,0,3.1970436,11.9962,3.399,0.79296,0.2111,0,16.39926,0.013555,0.13353,0.047273,0.00043836,0,0.19479636,0.06032,0.061911,0.0071672,0.00096986,0,0.13036806,0.005422,0.014567,0.0011437,1.2877e-05,0,0.021145577,0.0020333,0.016995,0.0013343,1.0959e-05,0,0.020373559,0.23044,1.1411,0.044802,0.00060493,0,1.41694693,0.021688,0.048558,0.0045748,4.1096e-05,0,0.074861896,0.028601,0.13924,0.0070757,8.6849e-05,0,0.175003549,0.0073889860976999,0.0701907788449279,0.00825425587491793,0.00329963383543092,0.035158838290989,0.0115114945721225,0.0132765810538322,0.0127452094509071,0.0166057209226506,0.0702739113831138,0.0258939144270347,0.010818448418684,"Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,115,1639,890,6422,0.0701647345942648,0.138586110246029,1.97515334515863,"Antigua and Barbuda","Antigua and Barbuda",NA,NA,2.58,NA,19987.9,NA,NA,"",NA,NA,0.1,"",NA,NA,NA,7.3,2024.0261,75.8889,60.0783,531.9453,553.2766,23.1234,15.0192,2.0929,1.8654,27.8999,1.695,233.3118,17.4025,8.0431,16.1649,20.1841,3.6778,16.9505,65.0204,1.6442,2.9697,4.3899,0.76274,2.8428,12.60934,0.10332,0.45923,0.32518,0.046904,0.35835,1.292984,0.89847,0,6.9681,0,1.021,8.88757,2.336,3.98,3.484,2.5863,18.2177,30.604,0.098831,0.15308,0.2555,0.048219,0.60058,1.15621,0.044923,0.076538,0.069681,0.078904,0.34033,0.610376,0.0071877,0.0076538,0.018581,0.0056986,0.01001,0.0491311,0.0094339,0.016838,0.011613,0.0026301,0.038037,0.078552,0.22462,0.52046,0.51099,0.083288,0.36035,1.699708,0.025786,0.061231,0.069681,0.0065753,0.01001,0.1732833,0.031446,0.11787,0.092907,0.013151,0.16616,0.421534,0.0321242893063484,0.166155261177853,0.0215216475832372,0.0167076765223793,0.0553141050967997,0.0500017298494166,0.0406397144987749,0.0234751302021119,0.0421100032164683,0.0609216520489321,0.10223203539823,0.0242226116937222,"Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,406750,44569,1412262,160090,9.12629854831834,8.82167530763945,0.966621381158409,"Argentina","Argentina",130,10,NA,965,NA,99,64,"<5.0",NA,17,40.4,"ns",3147,112,35.7,73.1,2941.361,100.9762,97.6135,1339.7743,1122.7275,31.4478,18.1096,3.0483,2.1881,24.3762,1.763,240.4225,29.8113,1.9479,2.6116,0.032855,0.14941,1.3445,6.086265,0.39819,0.47979,0.0071458,0.030986,0.22549,1.1416018,0.025023,0.074195,0.00052932,0.0019055,0.028424,0.13007682,0.21759,0,0.011342,0,0.080985,0.309917,0.56573,0.64302,0.0056712,0.10507,1.445,2.7644912,0.023935,0.024732,0.00041589,0.0019589,0.047638,0.09867979,0.010879,0.012366,0.00011342,0.0032055,0.026995,0.05355892,0.0017407,0.0012366,3.0247e-05,0.00023151,0.00079397,0.004033027,0.0022847,0.0027205,1.8904e-05,0.00010685,0.0030171,0.008148054,0.054397,0.084087,0.00083178,0.0033836,0.028583,0.17128238,0.0062448,0.0098926,0.00011342,0.00026712,0.00079397,0.01731191,0.0076156,0.019043,0.00015123,0.00053425,0.01318,0.04052408,0.00206920027837453,0.0113056522229991,0.0013325699826356,0.000231320305218573,0.00246229935580985,0.0031378916808171,0.00295748774130848,0.00132304136731949,0.00372380329966638,0.00702662350981695,0.00981957458876914,0.00135935299701791,"Argentina",6.7,5,10,5.8,5.8,6.2,8.2,7,7,4.6,5,7,10,"Argentina"
2011,2659,3703,16173,6935,0.718066432622198,2.33208363374189,3.24772685060031,"Armenia","Armenia",115,46,9.11,321,6803.5,85,39,"6.5",13.6,28,3,"0.2",2793,81,20,32.8,2978.02,97.971,86.7701,955.4474,1026.4971,22.8842,16.4413,2.6029,2.286,27.5835,3.0813,741.0056,18.3681,0.093699,2.7636,0.13308,0.0057534,0.06503,3.0611624,0.019062,0.38571,0.025563,0.001237,0.0091193,0.4406913,0.0013951,0.097423,0.0026756,6.6438e-05,0.00072592,0.102286058,0.01874,0.63623,0.038816,0.00047945,0.01966,0.71392545,0.01874,0.43741,0.027726,0.0031507,0.023441,0.5104677,0.00035397,0.02028,0.0006377,4.0411e-05,0.0029868,0.024298881,0.00043726,0.013122,0.00066542,0.00024247,0.0012099,0.01567705,5.8301e-05,0.0019882,0.00010536,3.2192e-06,1.966e-05,0.0021747402,6.7671e-05,0.0031812,0.0001317,2.9452e-06,7.5616e-05,0.0034591322,0.0022904,0.12128,0.0040203,0.00017123,0.00079397,0.1285559,0.00027068,0.0079529,0.00041589,1.0274e-05,3.7808e-05,0.008687552,0.00043934,0.022606,0.00066958,2.0274e-05,0.00014518,0.023880374,0.00102791868422643,0.00449818109440549,0.00117881687355437,0.000747215859292725,0.000497290932434198,0.00106181911537218,0.000953516449429182,0.000835506627223482,0.00151318118985127,0.00466060869722842,0.00281944374127803,0.00130010039143951,"Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,0,2115,1,16928,0,5.90737240075614e-05,Inf,"Aruba","Aruba",NA,NA,1.25,NA,36015.1,NA,NA,"",9.9,NA,0.1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,40157,216836,994953,1412568,0.185195262779243,0.704357595528144,3.8033240427308,"Australia","Australia",130,NA,1.45,985,41763.1,104,69,"",NA,19,22.4,"",NA,149,35.6,47.7,3711.4232,109.459,186.4301,927.3746,1251.4122,15.1721,14.5842,2.4439,2.5879,23.0656,2.1712,376.6984,30.1211,7.7114,8.9874,2.94,2.6811,5.2187,27.5386,1.5688,1.2544,0.56472,0.57644,0.73183,4.69619,0.11481,0.31682,0.059106,0.03096,0.058255,0.579951,1.5423,2.069,0.85749,0.22342,1.5777,6.26991,1.5423,1.4225,0.61249,1.4682,1.8811,6.92659,0.029132,0.065951,0.014087,0.018832,0.23969,0.367692,0.035987,0.042674,0.0147,0.11299,0.097092,0.303443,0.0047982,0.0064658,0.0023275,0.0015001,0.0015777,0.0166693,0.0055693,0.010345,0.0029093,0.0013725,0.0060682,0.0262643,0.1885,0.39441,0.088812,0.079795,0.063716,0.815233,0.022277,0.025863,0.0091874,0.0047877,0.0030341,0.0651492,0.036158,0.073516,0.014792,0.0094477,0.011651,0.1455647,0.0074199568510538,0.0429036442869019,0.00311082276949913,0.00676092487329284,0.00553501875720886,0.0242347466731698,0.0208062835122941,0.00682077826424976,0.0101488851964914,0.0353441055077691,0.030006079587325,0.0048326488740451,"Australia",3.3,5.8,3.2,3.2,3.2,4.7,3.4,5.2,6.3,5.7,4.5,5,4.2,"Australia"
2011,9350,71320,78192,523347,0.131099270891755,0.149407563241979,1.13965212945646,"Austria","Austria",149,NA,1.4,519,44022.4,106,64,"",5.1,10,8.4,"",NA,173,63.6,12.5,4210.2371,98.3168,207.136,1023.384,1119.2993,13.3822,12.2653,1.9645,2.2216,21.1611,2.3119,384.6343,35.6393,2.5018,8.7178,0.99209,0.70767,1.1218,14.04116,0.50897,1.2167,0.19056,0.15215,0.15731,2.22569,0.037248,0.30732,0.019945,0.0081719,0.012522,0.3852069,0.50035,2.007,0.28936,0.058973,0.33914,3.194823,0.50035,1.3798,0.20668,0.38753,0.40436,2.87872,0.0094511,0.063972,0.0047538,0.0049705,0.051523,0.1346704,0.011675,0.041394,0.0049604,0.029823,0.02087,0.1087224,0.0015566,0.0062718,0.0007854,0.00039596,0.00033914,0.0093489,0.0018068,0.010035,0.00098175,0.00036226,0.0013044,0.01449021,0.061154,0.38258,0.029969,0.021062,0.013696,0.508461,0.0072273,0.025087,0.0031003,0.0012637,0.00065219,0.03733049,0.01173,0.07131,0.0049914,0.0024937,0.0025044,0.0930295,0.00333500457729566,0.0226379418370004,0.00185968107909779,0.00312182230716916,0.0025718947559424,0.0100633976476215,0.00886422672091184,0.00475892084499873,0.00652242077781779,0.024028098728327,0.0161471041134997,0.00261030659973681,"Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,270,13621,226,11838,0.0198223331620292,0.0190910626795067,0.963108758361335,"Azerbaijan","Azerbaijan",122,21,NA,251,15754.2,88,28,"<5.0",NA,37,9.1,"ns",2937,54,24.6,7.9,3216.6058,112.5628,58.9588,481.3177,768.2112,29.1312,21.012,3.3881,2.1588,35.7053,3.6033,941.8113,13.6086,0.11244,4.0443,0.060493,0.023014,0,4.240247,0.022875,0.56446,0.01162,0.0049479,0,0.6039029,0.0016741,0.14257,0.0012162,0.00026575,0,0.14572605,0.022488,0.93107,0.017644,0.0019178,0,0.9731198,0.022488,0.64011,0.012603,0.012603,0,0.687804,0.00042477,0.029678,0.00028986,0.00016164,0,0.03055427,0.00052471,0.019203,0.00030247,0.00096986,0,0.02100004,6.9962e-05,0.0029096,4.789e-05,1.2877e-05,0,0.003040329,8.1205e-05,0.0046553,5.9863e-05,1.1781e-05,0,0.004808149,0.0027485,0.17748,0.0018274,0.00068493,0,0.18274083,0.00032482,0.011638,0.00018904,4.1096e-05,0,0.012192956,0.00052721,0.033082,0.00030436,8.1096e-05,0,0.033994666,0.00131823644662955,0.00536503089830743,0.00247165902291091,0.0020217827019451,0.000895331908725101,0.00104885037348273,0.000999430801446792,0.000897355154806529,0.00222723225866222,0.00511803093658364,0.00338383037770932,0.00249802815866437,"Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
