Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2006,2006,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2007,2007,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2008,2008,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2009,2009,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2010,2010,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2011,2011,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2012,2012,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,684,Fat supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2013,2013,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2005,2005,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2006,2006,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2007,2007,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2008,2008,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2009,2009,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2010,2010,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2011,2011,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2012,2012,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,641,Food supply quantity (tonnes),2775,Aquatic Plants,2013,2013,tonnes,0,A,"Aggregate, may include official, semi-official, estimated or calculated data"
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2005,2005,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2006,2006,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2007,2007,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2008,2008,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2009,2009,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2010,2010,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,5803,Small Island Developing States,646,Food supply quantity (g/capita/day),2775,Aquatic Plants,2011,2011,g/capita/day,0,Fc,Calculated data
